CONTINENT,LOCATION,SUBJECT,MEASURE,FREQUENCY,TIME,Labour Productivity Value,Labour Compensation Value,Multifactor Productivity Value,G20 Country? Yes/No
Australia,AUS,TOT,IDX2010_1,A,1964,0.474817551,,,Yes
Australia,AUS,TOT,IDX2010_1,A,1965,0.472183317,,,Yes
Australia,AUS,TOT,IDX2010_1,A,1966,0.477849049,,,Yes
Australia,AUS,TOT,IDX2010_1,A,1967,0.499847031,,,Yes
Australia,AUS,TOT,IDX2010_1,A,1968,0.513977628,,,Yes
Australia,AUS,TOT,IDX2010_1,A,1969,0.531030924,,,Yes
Australia,AUS,TOT,IDX2010_1,A,1970,0.547140899,,,Yes
Australia,AUS,TOT,IDX2010_1,A,1971,0.554976897,,,Yes
Australia,AUS,TOT,IDX2010_1,A,1972,0.559808245,,,Yes
Australia,AUS,TOT,IDX2010_1,A,1973,0.56859522,,,Yes
Australia,AUS,TOT,IDX2010_1,A,1974,0.56613679,,,Yes
Australia,AUS,TOT,IDX2010_1,A,1975,0.582604767,,,Yes
Australia,AUS,TOT,IDX2010_1,A,1976,0.59690005,,,Yes
Australia,AUS,TOT,IDX2010_1,A,1977,0.600317424,,,Yes
Australia,AUS,TOT,IDX2010_1,A,1978,0.609018919,,,Yes
Australia,AUS,TOT,IDX2010_1,A,1979,0.629075665,,,Yes
Australia,AUS,TOT,IDX2010_1,A,1980,0.628301581,,,Yes
Australia,AUS,TOT,IDX2010_1,A,1981,0.641090675,,,Yes
Australia,AUS,TOT,IDX2010_1,A,1982,0.63895765,,,Yes
Australia,AUS,TOT,IDX2010_1,A,1983,0.649309645,,,Yes
Australia,AUS,TOT,IDX2010_1,A,1984,0.671431318,,,Yes
Australia,AUS,TOT,IDX2010_1,A,1985,0.68378469,33.650663,86.660364,Yes
Australia,AUS,TOT,IDX2010_1,A,1986,0.668750087,35.388076,86.022618,Yes
Australia,AUS,TOT,IDX2010_1,A,1987,0.688913057,37.480844,87.402699,Yes
Australia,AUS,TOT,IDX2010_1,A,1988,0.693305871,40.20282,86.87658,Yes
Australia,AUS,TOT,IDX2010_1,A,1989,0.693032373,42.605293,86.685453,Yes
Australia,AUS,TOT,IDX2010_1,A,1990,0.690325127,45.496843,84.56424,Yes
Australia,AUS,TOT,IDX2010_1,A,1991,0.697820248,47.128574,85.215165,Yes
Australia,AUS,TOT,IDX2010_1,A,1992,0.722068776,48.739635,87.205958,Yes
Australia,AUS,TOT,IDX2010_1,A,1993,0.74974887,48.851009,87.578655,Yes
Australia,AUS,TOT,IDX2010_1,A,1994,0.76082759,49.618663,87.721428,Yes
Australia,AUS,TOT,IDX2010_1,A,1995,0.756470528,52.416612,89.57391,Yes
Australia,AUS,TOT,IDX2010_1,A,1996,0.776668603,55.728035,91.752661,Yes
Australia,AUS,TOT,IDX2010_1,A,1997,0.802467288,57.364587,93.907308,Yes
Australia,AUS,TOT,IDX2010_1,A,1998,0.82761611,59.4315,96.210629,Yes
Australia,AUS,TOT,IDX2010_1,A,1999,0.84696229,60.554069,96.653415,Yes
Australia,AUS,TOT,IDX2010_1,A,2000,0.852569898,63.878376,96.698717,Yes
Australia,AUS,TOT,IDX2010_1,A,2001,0.864480747,67.181403,99.043091,Yes
Australia,AUS,TOT,IDX2010_1,A,2002,0.881901877,69.622388,99.51729,Yes
Australia,AUS,TOT,IDX2010_1,A,2003,0.887579115,72.643662,100.795475,Yes
Australia,AUS,TOT,IDX2010_1,A,2004,0.907100883,75.127044,100.043729,Yes
Australia,AUS,TOT,IDX2010_1,A,2005,0.904405015,78.213424,99.602972,Yes
Australia,AUS,TOT,IDX2010_1,A,2006,0.906999634,82.319769,99.51156,Yes
Australia,AUS,TOT,IDX2010_1,A,2007,0.918998984,87.369646,99.735532,Yes
Australia,AUS,TOT,IDX2010_1,A,2008,0.916280622,92.097977,101.207119,Yes
Australia,AUS,TOT,IDX2010_1,A,2009,0.927184624,92.754026,99.608771,Yes
Australia,AUS,TOT,IDX2010_1,A,2010,0.931190613,100,100,Yes
Australia,AUS,TOT,IDX2010_1,A,2011,0.940233989,102.740996,100.194618,Yes
Australia,AUS,TOT,IDX2010_1,A,2012,0.96527681,105.829589,101.038717,Yes
Australia,AUS,TOT,IDX2010_1,A,2013,0.977038674,108.852923,101.674621,Yes
Australia,AUS,TOT,IDX2010_1,A,2014,0.995114791,110.110987,101.779313,Yes
Australia,AUS,TOT,IDX2010_1,A,2015,1,113.133305,103.730908,Yes
Australia,AUS,TOT,IDX2010_1,A,2016,1.010045721,112.643935,103.212285,Yes
Australia,AUS,TOT,IDX2010_1,A,2017,1.011054526,114.870672,104.282938,Yes
Australia,AUS,TOT,IDX2010_1,A,2018,1.010752392,,,Yes
